grid_code,cn
11_A,100
11_B,100
11_C,100
11_D,100
11_,100
12_A,100
12_B,100
12_C,100
12_D,100
12_,100
21_A,52
21_B,68
21_C,78
21_D,84
21_,84
22_A,81
22_B,88
22_C,90
22_D,93
22_,93
23_A,84
23_B,89
23_C,93
23_D,94
23_,94
24_A,88
24_B,92
24_C,93
24_D,94
24_,94
31_A,70
31_B,81
31_C,88
31_D,92
31_,92
32_A,70
32_B,81
32_C,88
32_D,92
32_,92
41_A,45
41_B,66
41_C,77
41_D,83
41_,83
42_A,30
42_B,55
42_C,70
42_D,77
42_,77
43_A,36
43_B,60
43_C,73
43_D,79
43_,79
51_A,33
51_B,42
51_C,55
51_D,62
51_,62
52_A,33
52_B,42
52_C,55
52_D,62
52_,62
71_A,47
71_B,63
71_C,75
71_D,85
71_,85
72_A,47
72_B,63
72_C,75
72_D,85
72_,85
73_A,74
73_B,74
73_C,74
73_D,74
73_,74
74_A,79
74_B,79
74_C,79
74_D,79
74_,79
81_A,40
81_B,61
81_C,73
81_D,79
81_,79
82_A,62
82_B,74
82_C,82
82_D,86
82_,86
90_A,86
90_B,86
90_C,86
90_D,86
90_,86
95_A,80
95_B,80
95_C,80
95_D,80
95_,80
