grid_code,cn
10_F_I_A,36
10_F_I_B,60
10_F_I_C,73
10_F_I_D,79
20_F_I_A,55
20_F_I_B,72
20_F_I_C,81
20_F_I_D,86
30_F_I_A,49
30_F_I_B,69
30_F_I_C,79
30_F_I_D,84
40_F_I_A,0
40_F_I_B,0
40_F_I_C,0
40_F_I_D,0
50_F_I_A,89
50_F_I_B,92
50_F_I_C,94
50_F_I_D,95
60_F_I_A,65
60_F_I_B,79
60_F_I_C,87
60_F_I_D,90
70_F_I_A,0
70_F_I_B,0
70_F_I_C,0
70_F_I_D,0
80_F_I_A,100
80_F_I_B,100
80_F_I_C,100
80_F_I_D,100
90_F_I_A,80
90_F_I_B,80
90_F_I_C,80
90_F_I_D,80
95_F_I_A,0
95_F_I_B,0
95_F_I_C,0
95_F_I_D,0
100_F_I_A,74
100_F_I_B,77
100_F_I_C,78
100_F_I_D,79
