grid_code,cn
10_F_II_A,19
10_F_II_B,40
10_F_II_C,54
10_F_II_D,62
20_F_II_A,35
20_F_II_B,53
20_F_II_C,64
20_F_II_D,72
30_F_II_A,30
30_F_II_B,50
30_F_II_C,62
30_F_II_D,68
40_F_II_A,0
40_F_II_B,0
40_F_II_C,0
40_F_II_D,0
50_F_II_A,76
50_F_II_B,81
50_F_II_C,85
50_F_II_D,87
60_F_II_A,45
60_F_II_B,62
60_F_II_C,73
60_F_II_D,78
70_F_II_A,0
70_F_II_B,0
70_F_II_C,0
70_F_II_D,0
80_F_II_A,100
80_F_II_B,100
80_F_II_C,100
80_F_II_D,100
90_F_II_A,63
90_F_II_B,63
90_F_II_C,63
90_F_II_D,63
95_F_II_A,0
95_F_II_B,0
95_F_II_C,0
95_F_II_D,0
100_F_II_A,55
100_F_II_B,59
100_F_II_C,60
100_F_II_D,62
