grid_code,cn
10_F_III_A,56
10_F_III_B,78
10_F_III_C,87
10_F_III_D,91
20_F_III_A,74
20_F_III_B,86
20_F_III_C,92
20_F_III_D,94
30_F_III_A,69
30_F_III_B,84
30_F_III_C,91
30_F_III_D,93
40_F_III_A,0
40_F_III_B,0
40_F_III_C,0
40_F_III_D,0
50_F_III_A,96
50_F_III_B,97
50_F_III_C,98
50_F_III_D,98
60_F_III_A,82
60_F_III_B,91
60_F_III_C,95
60_F_III_D,96
70_F_III_A,0
70_F_III_B,0
70_F_III_C,0
70_F_III_D,0
80_F_III_A,100
80_F_III_B,100
80_F_III_C,100
80_F_III_D,100
90_F_III_A,91
90_F_III_B,91
90_F_III_C,91
90_F_III_D,91
95_F_III_A,0
95_F_III_B,0
95_F_III_C,0
95_F_III_D,0
100_F_III_A,88
100_F_III_B,89
100_F_III_C,90
100_F_III_D,91
