grid_code,cn
10_G_I_A,30
10_G_I_B,55
10_G_I_C,70
10_G_I_D,77
20_G_I_A,49
20_G_I_B,68
20_G_I_C,79
20_G_I_D,84
30_G_I_A,39
30_G_I_B,61
30_G_I_C,74
30_G_I_D,80
40_G_I_A,67
40_G_I_B,78
40_G_I_C,85
40_G_I_D,89
50_G_I_A,89
50_G_I_B,92
50_G_I_C,94
50_G_I_D,95
60_G_I_A,65
60_G_I_B,79
60_G_I_C,87
60_G_I_D,90
70_G_I_A,0
70_G_I_B,0
70_G_I_C,0
70_G_I_D,0
80_G_I_A,100
80_G_I_B,100
80_G_I_C,100
80_G_I_D,100
90_G_I_A,80
90_G_I_B,80
90_G_I_C,80
90_G_I_D,80
95_G_I_A,0
95_G_I_B,0
95_G_I_C,0
95_G_I_D,0
100_G_I_A,74
100_G_I_B,77
100_G_I_C,78
100_G_I_D,79
