grid_code,cn
10_G_II_A,15
10_G_II_B,35
10_G_II_C,51
10_G_II_D,59
20_G_II_A,30
20_G_II_B,48
20_G_II_C,62
20_G_II_D,68
30_G_II_A,21
30_G_II_B,41
30_G_II_C,55
30_G_II_D,63
40_G_II_A,47
40_G_II_B,60
40_G_II_C,70
40_G_II_D,76
50_G_II_A,76
50_G_II_B,81
50_G_II_C,85
50_G_II_D,87
60_G_II_A,45
60_G_II_B,62
60_G_II_C,73
60_G_II_D,78
70_G_II_A,0
70_G_II_B,0
70_G_II_C,0
70_G_II_D,0
80_G_II_A,100
80_G_II_B,100
80_G_II_C,100
80_G_II_D,100
90_G_II_A,63
90_G_II_B,63
90_G_II_C,63
90_G_II_D,63
95_G_II_A,0
95_G_II_B,0
95_G_II_C,0
95_G_II_D,0
100_G_II_A,55
100_G_II_B,59
100_G_II_C,60
100_G_II_D,62
