grid_code,cn
10_G_III_A,50
10_G_III_B,74
10_G_III_C,85
10_G_III_D,89
20_G_III_A,69
20_G_III_B,84
20_G_III_C,91
20_G_III_D,93
30_G_III_A,59
30_G_III_B,78
30_G_III_C,88
30_G_III_D,91
40_G_III_A,83
40_G_III_B,90
40_G_III_C,94
40_G_III_D,96
50_G_III_A,96
50_G_III_B,97
50_G_III_C,98
50_G_III_D,98
60_G_III_A,82
60_G_III_B,91
60_G_III_C,95
60_G_III_D,96
70_G_III_A,0
70_G_III_B,0
70_G_III_C,0
70_G_III_D,0
80_G_III_A,100
80_G_III_B,100
80_G_III_C,100
80_G_III_D,100
90_G_III_A,91
90_G_III_B,91
90_G_III_C,91
90_G_III_D,91
95_G_III_A,0
95_G_III_B,0
95_G_III_C,0
95_G_III_D,0
100_G_III_A,88
100_G_III_B,89
100_G_III_C,90
100_G_III_D,91
