grid_code	cn
10_P_II_A	26
10_P_II_B	46
10_P_II_C	59
10_P_II_D	67
20_P_II_A	43
20_P_II_B	59
20_P_II_C	70
20_P_II_D	75
30_P_II_A	48
30_P_II_B	62
30_P_II_C	72
30_P_II_D	76
40_P_II_A	53
40_P_II_B	64
40_P_II_C	75
40_P_II_D	80
50_P_II_A	76
50_P_II_B	81
50_P_II_C	85
50_P_II_D	87
60_P_II_A	45
60_P_II_B	62
60_P_II_C	73
60_P_II_D	78
70_P_II_A	0
70_P_II_B	0
70_P_II_C	0
70_P_II_D	0
80_P_II_A	100
80_P_II_B	100
80_P_II_C	100
80_P_II_D	100
90_P_II_A	63
90_P_II_B	63
90_P_II_C	63
90_P_II_D	63
95_P_II_A	0
95_P_II_B	0
95_P_II_C	0
95_P_II_D	0
100_P_II_A	55
100_P_II_B	59
100_P_II_C	60
100_P_II_D	62
